-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2018 through 12/31/2024 in LST
Location: Latitude  19.7454   Longitude -14.3868 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 91.88 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
PS                  MERRA-2 Surface Pressure (kPa) 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                 MERRA-2 Temperature at 2 Meters (C) 
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) 
WSC                 MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: 35-m broadleaf-evergreen trees (70% coverage) (vegtype_1) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2018,0.01,0.22,0.05,0.0,0.0,1.75,40.15,22.87,47.67,3.94,3.12,0.0,119.78
PRECTOTCORR_SUM,2019,0.0,0.56,0.1,2.45,0.72,0.0,0.0,6.34,4.73,33.86,0.0,0.0,48.76
PRECTOTCORR_SUM,2020,0.0,10.7,178.09,0.75,0.0,0.08,7.41,15.44,64.2,286.14,2.47,0.0,565.28
PRECTOTCORR_SUM,2021,0.38,0.25,0.0,0.12,0.0,0.0,1.53,28.35,16.39,22.34,7.63,0.19,77.18
PRECTOTCORR_SUM,2022,1.38,0.0,0.0,0.0,0.82,9.27,11.06,38.98,40.0,0.62,0.0,3.93,106.06
PRECTOTCORR_SUM,2023,1.29,1.74,0.55,5.58,2.65,0.0,36.98,25.5,23.98,0.15,0.0,0.0,98.42
PRECTOTCORR_SUM,2024,0.0,0.0,0.0,0.01,0.36,0.23,8.84,59.68,33.24,0.93,0.41,0.0,103.7
PS,2018,100.61,100.36,100.25,100.1,100.02,100.02,99.93,99.94,99.99,100.13,100.3,100.59,100.19
PS,2019,100.61,100.51,100.37,100.13,99.91,100.0,99.84,99.89,100.0,100.06,100.25,100.46,100.17
PS,2020,100.68,100.46,100.21,100.14,100.02,99.94,99.81,99.79,99.99,100.18,100.38,100.43,100.17
