-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2018 through 12/31/2024 in LST
Location: Latitude  16.9077   Longitude -13.7315 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 58.09 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
PS                  MERRA-2 Surface Pressure (kPa) 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                 MERRA-2 Temperature at 2 Meters (C) 
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) 
WSC                 MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: 35-m broadleaf-evergreen trees (70% coverage) (vegtype_1) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2018,0.0,0.0,0.0,0.0,0.0,39.3,62.9,43.35,118.91,29.32,0.3,0.0,294.08
PRECTOTCORR_SUM,2019,0.0,0.0,0.29,0.28,0.03,0.05,15.76,52.97,36.86,28.44,0.0,0.0,134.68
PRECTOTCORR_SUM,2020,0.0,0.05,0.39,11.78,0.02,2.52,123.39,84.16,142.08,181.6,0.33,0.0,546.32
PRECTOTCORR_SUM,2021,0.0,0.0,0.0,0.0,0.0,2.19,15.96,195.72,77.04,1.56,6.86,0.11,299.44
PRECTOTCORR_SUM,2022,0.79,0.0,0.0,0.0,31.63,23.54,44.92,105.85,97.54,14.84,0.0,10.15,329.26
PRECTOTCORR_SUM,2023,0.42,0.0,0.44,0.87,1.51,8.21,78.32,64.04,56.43,24.96,0.0,0.0,235.2
PRECTOTCORR_SUM,2024,0.0,0.0,0.0,0.13,0.0,5.67,34.75,106.37,98.65,17.22,0.12,0.07,262.98
PS,2018,100.78,100.59,100.45,100.34,100.26,100.34,100.4,100.4,100.38,100.46,100.56,100.8,100.48
PS,2019,100.82,100.7,100.62,100.36,100.2,100.26,100.31,100.35,100.45,100.37,100.5,100.68,100.47
PS,2020,100.86,100.65,100.44,100.39,100.27,100.29,100.27,100.27,100.42,100.49,100.66,100.67,100.47
PS,2021,100.72,100.58,100.36,100.16,100.21,100.24,100.36,100.41,100.42,100.4,100.46,100.6,100.41
PS,2022,100.71,100.57,100.35,100.21,100.27,100.22,100.29,100.28,100.39,100.46,100.59,100.62,100.41
PS,2023,100.74,100.55,100.33,100.25,100.3,100.26,100.43,100.35,100.36,100.37,100.5,100.73,100.43
PS,2024,100.77,100.64,100.35,100.18,100.14,100.23,100.34,100.28,100.34,100.48,100.58,100.78,100.43
RH2M,2018,17.88,26.64,15.36,17.7,16.15,26.41,48.49,52.03,61.64,50.86,38.51,18.04,32.48
RH2M,2019,15.75,12.4,19.16,16.83,17.9,18.49,37.28,48.03,53.61,40.29,25.24,18.43,27.05
RH2M,2020,15.33,12.72,15.07,21.27,15.63,29.96,51.2,62.54,70.8,65.65,55.78,48.91,38.82
RH2M,2021,32.36,21.39,20.3,17.43,18.83,27.59,38.73,68.56,65.57,47.79,34.45,24.01,34.84
RH2M,2022,16.61,15.06,16.32,17.44,20.06,35.54,45.78,60.84,68.51,55.51,31.28,25.64,34.16
RH2M,2023,19.85,19.83,17.64,22.81,22.7,26.37,50.6,54.46,60.1,43.49,18.21,16.89,31.16
RH2M,2024,14.73,11.27,15.79,18.02,15.54,26.75,46.32,58.92,63.33,51.18,32.47,22.39,31.46
T2M,2018,21.54,22.59,28.71,30.21,33.0,34.77,31.66,31.36,30.26,29.76,26.48,23.48,28.68
T2M,2019,22.4,24.44,25.75,30.58,33.73,35.9,33.77,32.19,31.99,30.65,28.16,24.72,29.54
T2M,2020,22.82,27.33,27.89,31.27,35.08,35.49,32.14,30.8,29.29,27.27,23.07,22.25,28.72
T2M,2021,21.94,24.43,27.86,32.56,34.25,35.34,33.3,29.74,30.26,30.21,28.55,25.81,29.54
T2M,2022,24.79,25.91,27.42,31.7,34.38,34.3,32.84,30.85,29.71,29.4,25.75,24.93,29.35
T2M,2023,23.62,26.11,29.51,31.42,34.58,35.85,32.72,32.12,31.38,31.47,28.05,25.16,30.18
T2M,2024,24.74,26.95,29.16,33.22,36.14,35.38,33.21,31.57,30.17,29.99,26.94,24.31,30.15
WS10M,2018,5.36,5.07,4.86,4.74,4.96,4.3,4.2,4.01,3.32,3.0,3.81,4.7,4.36
WS10M,2019,4.6,5.14,4.6,4.7,4.49,4.29,4.48,4.5,3.57,3.75,3.51,4.55,4.35
WS10M,2020,5.4,5.29,4.59,4.6,4.65,4.63,4.19,4.03,2.83,3.26,4.18,3.99,4.3
WS10M,2021,5.29,4.65,4.64,4.92,4.78,4.9,4.96,3.4,3.2,3.13,3.57,4.59,4.34
WS10M,2022,5.15,5.23,4.98,4.98,4.56,4.01,4.79,3.69,3.07,2.79,3.99,4.15,4.28
WS10M,2023,4.55,4.96,4.48,4.95,4.61,4.71,4.03,4.08,3.32,2.95,4.1,4.94,4.3
WS10M,2024,4.65,4.94,4.15,5.13,4.72,4.32,4.76,4.46,3.8,3.17,4.04,4.89,4.42
WSC,2018,3.75,3.33,3.36,3.2,3.18,2.73,2.63,2.44,2.16,2.11,2.73,3.43,2.92
WSC,2019,3.28,3.6,3.18,3.12,2.89,2.79,2.65,2.65,2.23,2.55,2.57,3.26,2.89
WSC,2020,3.75,3.73,3.21,3.05,3.06,2.79,2.51,2.55,1.95,2.35,3.09,2.81,2.9
WSC,2021,3.65,3.24,3.15,3.21,3.04,2.95,2.88,2.22,2.15,2.16,2.53,3.23,2.87
WSC,2022,3.56,3.58,3.41,3.29,3.04,2.53,2.8,2.23,2.07,1.97,2.89,2.97,2.86
WSC,2023,3.25,3.32,3.12,3.21,2.89,2.89,2.47,2.49,2.15,2.07,3.02,3.51,2.86
WSC,2024,3.33,3.52,2.9,3.36,3.06,2.69,2.79,2.67,2.42,2.22,2.94,3.44,2.94
