-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2018 through 12/31/2024 in LST
Location: Latitude  20.688   Longitude -13.4576 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 147.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
PS                  MERRA-2 Surface Pressure (kPa) 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                 MERRA-2 Temperature at 2 Meters (C) 
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) 
WSC                 MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: 35-m broadleaf-evergreen trees (70% coverage) (vegtype_1) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2018,0.06,0.38,0.02,0.0,0.0,0.95,25.88,21.15,31.44,18.25,0.32,0.0,98.45
PRECTOTCORR_SUM,2019,0.0,7.15,1.05,0.18,1.28,0.0,0.0,5.0,3.59,9.04,0.0,0.0,27.29
PRECTOTCORR_SUM,2020,0.0,2.25,11.77,0.05,0.0,0.02,0.92,17.04,14.23,2167.91,1.72,0.0,2215.91
PRECTOTCORR_SUM,2021,0.03,0.06,0.0,0.3,0.0,0.0,0.02,5.68,2.15,33.31,2.48,0.1,44.13
PRECTOTCORR_SUM,2022,0.34,0.0,0.0,0.0,0.22,2.76,2.1,4.04,17.52,0.05,0.0,3.63,30.66
PRECTOTCORR_SUM,2023,0.21,1.94,0.45,4.64,3.03,0.0,2.53,2.37,2.77,0.0,0.0,0.0,17.94
PRECTOTCORR_SUM,2024,0.0,0.0,0.0,0.1,0.06,0.11,1.84,13.29,16.57,0.06,0.14,0.0,32.17
PS,2018,100.03,99.75,99.67,99.51,99.43,99.46,99.27,99.28,99.38,99.53,99.71,100.01,99.59
PS,2019,100.01,99.93,99.76,99.53,99.3,99.43,99.2,99.23,99.38,99.47,99.66,99.88,99.56
PS,2020,100.11,99.89,99.62,99.54,99.43,99.36,99.12,99.12,99.35,99.59,99.78,99.82,99.56
PS,2021,99.94,99.76,99.57,99.34,99.35,99.3,99.21,99.31,99.38,99.5,99.61,99.81,99.5
PS,2022,99.89,99.77,99.56,99.37,99.38,99.31,99.15,99.14,99.37,99.51,99.75,99.78,99.49
PS,2023,99.95,99.78,99.48,99.37,99.46,99.36,99.29,99.23,99.31,99.41,99.7,99.93,99.52
PS,2024,99.94,99.85,99.52,99.33,99.31,99.28,99.19,99.14,99.31,99.53,99.69,99.98,99.5
RH2M,2018,26.69,37.74,24.29,23.94,19.03,17.07,25.79,31.16,35.51,32.93,35.88,21.22,27.52
RH2M,2019,23.8,19.79,22.82,22.38,18.57,15.46,20.11,28.54,25.36,23.22,24.2,23.19,22.31
RH2M,2020,19.63,15.1,20.9,23.81,16.18,19.64,28.86,33.66,33.23,42.42,40.52,40.36,27.91
RH2M,2021,32.63,26.57,25.68,23.41,22.02,17.43,23.4,29.01,27.32,23.06,33.09,25.79,25.78
RH2M,2022,21.83,19.44,24.69,22.2,17.71,24.33,27.49,33.68,35.76,22.39,17.08,27.8,24.57
RH2M,2023,23.64,29.65,18.89,25.65,24.15,21.38,24.97,30.24,25.9,21.39,18.3,20.58,23.69
RH2M,2024,14.43,15.93,22.49,19.31,14.78,17.37,26.69,33.91,34.22,25.51,20.1,21.87,22.25
T2M,2018,17.87,18.0,24.73,25.96,28.97,34.22,34.74,34.15,33.07,30.33,23.19,20.13,27.17
T2M,2019,18.23,20.06,23.0,25.7,31.1,33.75,35.68,35.06,35.45,31.33,24.8,21.26,27.99
T2M,2020,19.05,24.27,24.08,27.65,32.16,36.12,35.35,34.96,34.26,28.7,23.53,19.19,28.28
T2M,2021,19.19,20.78,23.85,28.15,31.08,35.56,35.5,35.11,34.52,31.17,26.2,22.3,28.65
T2M,2022,21.5,23.13,23.21,26.8,33.41,34.56,35.83,34.78,33.61,31.61,25.59,23.0,28.95
T2M,2023,20.25,21.61,27.58,28.27,31.65,34.57,36.7,35.84,36.01,32.41,26.16,22.06,29.47
T2M,2024,22.67,24.16,24.91,30.19,32.34,35.13,35.77,35.18,34.04,32.22,27.14,21.75,29.63
WS10M,2018,5.62,4.84,4.98,5.27,5.17,5.61,4.97,4.14,4.73,4.37,4.23,4.79,4.89
WS10M,2019,4.79,5.27,4.69,4.72,4.38,5.79,4.97,5.05,3.62,4.69,4.34,4.87,4.76
WS10M,2020,5.25,5.04,4.85,4.81,4.84,6.44,4.47,4.52,3.89,4.85,4.15,4.27,4.78
WS10M,2021,5.17,4.83,4.91,4.74,5.04,5.51,4.65,5.01,4.38,4.22,4.05,4.79,4.78
WS10M,2022,4.83,4.94,5.42,4.72,4.65,5.71,4.73,4.63,4.29,3.98,4.53,4.24,4.72
WS10M,2023,4.75,4.59,4.74,4.19,4.43,5.33,4.54,4.48,4.52,3.51,4.85,4.47,4.53
WS10M,2024,4.71,4.97,5.02,4.65,4.55,5.62,4.94,4.81,4.31,4.17,4.11,4.8,4.72
WSC,2018,3.96,3.27,3.35,3.41,3.33,3.49,3.09,2.63,2.97,2.81,2.86,3.51,3.22
WSC,2019,3.43,3.77,3.24,3.14,2.91,3.68,3.11,3.04,2.34,3.15,2.95,3.39,3.18
WSC,2020,3.7,3.56,3.33,3.17,3.14,3.95,2.69,2.72,2.48,3.29,3.02,3.07,3.17
WSC,2021,3.62,3.44,3.36,3.14,3.25,3.43,2.92,3.03,2.78,2.87,2.78,3.34,3.16
WSC,2022,3.39,3.45,3.66,3.12,3.02,3.51,2.85,2.71,2.66,2.71,3.26,2.94,3.1
WSC,2023,3.37,3.07,3.27,2.79,2.81,3.37,2.75,2.72,2.83,2.38,3.41,3.2,2.99
WSC,2024,3.4,3.49,3.42,3.03,2.99,3.52,2.96,2.89,2.65,2.77,2.95,3.34,3.12
