-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2018 through 12/31/2024 in LST
Location: Latitude  16.6614   Longitude -9.6149 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 195.28 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
PS                  MERRA-2 Surface Pressure (kPa) 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                 MERRA-2 Temperature at 2 Meters (C) 
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) 
WSC                 MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: 35-m broadleaf-evergreen trees (70% coverage) (vegtype_1) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2018,0.0,0.0,0.0,0.03,1.1,28.67,144.49,228.27,149.64,1.92,0.01,0.0,554.13
PRECTOTCORR_SUM,2019,0.0,1.09,0.0,0.0,0.0,15.9,83.6,131.52,56.7,69.17,0.0,0.0,357.98
PRECTOTCORR_SUM,2020,0.0,0.0,0.0,1.59,3.01,48.91,187.44,324.2,184.33,64.15,0.0,0.0,813.63
PRECTOTCORR_SUM,2021,0.0,0.59,0.0,0.0,36.15,6.62,80.2,324.13,101.37,2.34,0.12,0.05,551.57
PRECTOTCORR_SUM,2022,0.0,0.0,0.0,0.0,8.21,57.8,12.22,160.78,97.91,3.67,0.0,0.02,340.61
PRECTOTCORR_SUM,2023,0.0,0.0,448.06,9.9,21.04,46.67,71.35,2.07,2.59,0.02,0.0,0.0,601.7
PRECTOTCORR_SUM,2024,0.0,0.0,0.0,1.44,2.32,3.52,114.07,223.86,191.7,6.26,0.0,0.0,543.17
PS,2018,99.22,98.94,98.88,98.7,98.61,98.71,98.85,98.88,98.85,98.92,98.98,99.29,98.9
PS,2019,99.3,99.17,99.01,98.73,98.58,98.68,98.78,98.81,98.91,98.81,98.98,99.16,98.91
PS,2020,99.34,99.15,98.86,98.78,98.72,98.72,98.72,98.72,98.87,98.94,99.13,99.1,98.92
PS,2021,99.15,99.0,98.81,98.57,98.58,98.65,98.78,98.87,98.88,98.85,98.94,99.12,98.85
PS,2022,99.23,99.02,98.73,98.6,98.69,98.64,98.67,98.7,98.83,98.9,99.05,99.11,98.85
PS,2023,99.2,98.97,98.77,98.69,98.73,98.7,98.87,98.75,98.73,98.77,98.97,99.25,98.87
PS,2024,99.29,99.15,98.78,98.6,98.57,98.62,98.76,98.73,98.85,98.93,99.1,99.28,98.89
RH2M,2018,19.75,21.0,13.61,14.84,15.4,26.0,61.61,75.08,73.67,49.38,41.16,25.1,36.48
RH2M,2019,19.85,15.28,18.8,16.59,16.24,19.89,55.7,65.39,63.25,49.64,30.14,23.21,32.98
RH2M,2020,20.47,15.89,14.7,20.54,16.79,40.84,65.26,75.66,77.72,63.53,49.68,43.01,42.09
RH2M,2021,28.85,19.77,18.89,15.1,23.66,33.43,54.37,74.27,70.27,50.11,34.55,26.15,37.59
RH2M,2022,18.27,16.19,15.94,15.35,17.4,36.9,46.2,59.72,65.38,47.32,24.87,24.41,32.43
RH2M,2023,17.83,16.88,20.65,31.75,29.44,38.1,60.26,53.97,43.46,24.06,15.31,17.74,30.89
RH2M,2024,13.58,11.56,13.3,14.84,15.31,27.17,58.11,73.92,76.66,59.67,34.99,25.79,35.51
T2M,2018,20.5,23.54,28.15,31.2,34.59,35.56,30.27,27.89,28.02,28.07,25.83,20.6,27.86
T2M,2019,19.34,22.08,25.77,31.15,34.93,36.04,31.76,29.86,30.09,28.99,25.86,21.96,28.17
T2M,2020,20.31,25.39,27.44,32.21,34.77,34.12,29.99,28.62,27.79,25.86,21.57,22.08,27.51
T2M,2021,21.05,24.03,27.04,32.96,35.16,35.47,31.93,28.5,28.87,28.43,26.58,23.25,28.62
T2M,2022,22.02,23.88,27.44,32.03,34.97,34.26,33.38,30.73,29.74,29.13,25.08,23.72,28.89
T2M,2023,22.09,25.69,27.95,28.58,33.52,34.32,31.45,32.25,34.1,33.2,27.14,22.55,29.42
T2M,2024,22.91,24.85,29.62,33.88,36.42,36.76,31.77,29.1,28.08,28.21,24.21,21.51,28.95
WS10M,2018,4.93,4.52,4.99,4.26,3.72,4.06,4.45,3.55,2.52,2.71,3.62,4.76,4.01
WS10M,2019,4.8,5.27,4.32,4.41,4.03,3.58,4.49,4.25,2.92,3.33,3.81,4.66,4.15
WS10M,2020,5.36,5.54,4.38,4.38,3.67,4.33,3.75,3.9,2.51,2.94,4.04,3.86,4.05
WS10M,2021,5.18,4.63,4.7,4.01,3.5,4.07,5.33,3.31,2.91,3.07,4.17,5.07,4.16
WS10M,2022,5.48,4.96,4.29,4.31,4.26,3.76,4.65,3.78,2.85,3.01,4.41,4.84,4.21
WS10M,2023,5.15,4.89,4.14,3.79,3.85,3.97,4.11,4.16,3.4,3.25,4.52,5.31,4.21
WS10M,2024,5.13,5.15,4.18,4.52,4.24,4.25,5.09,4.16,3.12,3.06,3.86,5.17,4.33
WSC,2018,3.43,3.05,3.46,2.91,2.53,2.59,2.73,2.29,1.77,1.93,2.67,3.49,2.74
WSC,2019,3.44,3.65,3.08,3.04,2.7,2.38,2.65,2.58,1.96,2.38,2.77,3.31,2.83
WSC,2020,3.67,3.89,3.08,2.92,2.51,2.62,2.35,2.49,1.78,2.16,3.07,2.83,2.78
WSC,2021,3.66,3.28,3.24,2.85,2.38,2.47,3.07,2.21,2.04,2.27,3.05,3.56,2.84
WSC,2022,3.76,3.48,2.98,2.97,2.87,2.41,2.74,2.27,1.95,2.15,3.22,3.43,2.85
WSC,2023,3.56,3.36,3.01,2.73,2.56,2.54,2.46,2.47,2.08,2.32,3.3,3.68,2.84
WSC,2024,3.64,3.65,2.95,3.08,2.87,2.62,3.0,2.64,2.09,2.22,2.83,3.65,2.93
