-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2018 through 12/31/2024 in LST
Location: Latitude  16.4083   Longitude -7.312 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 222.97 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
PS                  MERRA-2 Surface Pressure (kPa) 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                 MERRA-2 Temperature at 2 Meters (C) 
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) 
WSC                 MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: 35-m broadleaf-evergreen trees (70% coverage) (vegtype_1) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2018,0.0,0.16,0.0,0.04,14.93,39.55,98.69,244.72,79.05,3.38,0.0,0.0,480.52
PRECTOTCORR_SUM,2019,0.0,0.05,0.41,0.0,0.0,35.53,56.75,164.63,66.69,21.69,0.0,0.0,345.75
PRECTOTCORR_SUM,2020,0.0,0.0,0.0,3.44,38.1,14.63,184.47,235.62,123.06,28.99,0.0,0.0,628.31
PRECTOTCORR_SUM,2021,0.0,1.5,0.0,1.59,2.43,27.84,95.4,195.27,59.18,2.4,0.56,0.0,386.17
PRECTOTCORR_SUM,2022,0.0,0.0,0.0,0.0,30.36,39.62,12.99,180.53,75.18,4.62,0.0,0.0,343.3
PRECTOTCORR_SUM,2023,0.0,0.0,4.16,5.35,4.6,15.31,102.73,0.0,0.0,0.0,0.0,0.0,132.15
PRECTOTCORR_SUM,2024,0.0,0.0,0.01,0.63,52.73,4.43,81.04,167.65,163.15,5.12,0.0,0.0,474.76
PS,2018,98.88,98.6,98.53,98.36,98.28,98.37,98.49,98.56,98.51,98.57,98.64,98.96,98.56
PS,2019,98.96,98.83,98.67,98.4,98.24,98.36,98.43,98.49,98.58,98.47,98.65,98.82,98.57
PS,2020,99.0,98.83,98.53,98.44,98.38,98.36,98.37,98.39,98.54,98.59,98.79,98.75,98.58
PS,2021,98.8,98.67,98.49,98.25,98.24,98.3,98.44,98.52,98.53,98.5,98.61,98.8,98.51
PS,2022,98.93,98.69,98.39,98.26,98.37,98.3,98.32,98.35,98.5,98.57,98.72,98.8,98.51
PS,2023,98.87,98.65,98.43,98.33,98.38,98.34,98.52,98.4,98.38,98.44,98.63,98.93,98.53
PS,2024,98.99,98.83,98.47,98.28,98.26,98.28,98.41,98.39,98.52,98.58,98.78,98.96,98.56
RH2M,2018,18.27,19.22,12.07,13.66,17.34,27.72,57.09,76.22,72.45,45.94,31.33,18.97,34.29
RH2M,2019,15.14,12.26,16.78,15.11,16.41,23.15,51.31,63.1,64.66,46.72,23.7,18.41,30.7
RH2M,2020,18.01,14.34,12.85,19.32,16.31,37.21,61.28,74.65,76.28,53.66,35.72,27.8,37.36
