-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2018 through 12/31/2024 in LST
Location: Latitude  20.9367   Longitude -17.0399 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 5.84 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
PS                  MERRA-2 Surface Pressure (kPa) 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                 MERRA-2 Temperature at 2 Meters (C) 
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) 
WSC                 MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: 35-m broadleaf-evergreen trees (70% coverage) (vegtype_1) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2018,0.38,2.01,0.43,0.0,0.0,0.32,3.31,7.03,6.07,31.98,0.5,1.03,53.06
PRECTOTCORR_SUM,2019,0.02,0.11,0.08,0.08,0.0,0.0,0.05,2.6,1.36,3.32,1.14,0.04,8.8
PRECTOTCORR_SUM,2020,0.07,0.78,1.42,0.14,0.02,1.95,0.39,0.76,2.5,109.51,0.49,0.36,118.39
PRECTOTCORR_SUM,2021,0.02,0.32,157.32,0.38,1.19,0.2,0.32,0.63,1.01,13.19,18.06,0.47,193.11
PRECTOTCORR_SUM,2022,0.49,0.07,0.0,0.74,1.0,1.25,0.49,1.87,14.1,1.46,0.05,5.41,26.93
PRECTOTCORR_SUM,2023,0.0,13.74,0.07,2.53,19.52,0.06,0.2,0.39,0.03,0.11,0.01,0.62,37.28
PRECTOTCORR_SUM,2024,2.45,0.17,0.17,0.97,0.79,0.03,0.11,0.82,0.35,0.49,0.88,0.31,7.54
PS,2018,101.8,101.53,101.46,101.39,101.35,101.3,101.1,101.08,101.1,101.28,101.47,101.7,101.38
PS,2019,101.75,101.65,101.53,101.36,101.2,101.32,101.06,101.05,101.12,101.19,101.4,101.6,101.35
PS,2020,101.83,101.58,101.39,101.39,101.3,101.19,100.91,100.9,101.05,101.3,101.44,101.59,101.32
PS,2021,101.68,101.54,101.39,101.25,101.26,101.18,101.09,101.07,101.12,101.22,101.32,101.5,101.3
PS,2022,101.57,101.53,101.39,101.22,101.23,101.15,100.98,100.93,101.11,101.22,101.43,101.46,101.27
PS,2023,101.67,101.57,101.19,101.16,101.3,101.22,101.12,101.0,101.1,101.11,101.39,101.61,101.28
PS,2024,101.58,101.54,101.33,101.12,101.14,101.16,101.01,100.89,101.06,101.26,101.35,101.67,101.26
RH2M,2018,54.94,67.01,66.68,68.37,69.2,62.71,68.21,70.87,63.66,69.75,71.62,45.55,64.84
RH2M,2019,53.77,48.1,59.69,68.95,73.35,67.96,67.45,70.91,62.71,54.97,62.62,51.82,61.93
RH2M,2020,46.3,44.57,58.46,67.23,66.56,61.05,70.76,68.92,64.04,70.38,56.36,68.91,62.05
RH2M,2021,53.17,61.2,67.48,78.83,75.15,68.6,73.54,67.58,65.69,60.87,62.89,52.59,65.63
RH2M,2022,56.86,55.86,65.88,69.95,67.4,66.04,71.35,70.97,66.82,61.58,46.99,64.06,63.72
RH2M,2023,50.49,67.11,54.68,66.4,67.76,69.13,68.91,69.84,64.32,60.4,48.21,49.19,61.32
RH2M,2024,44.63,49.63,64.8,61.35,65.78,66.21,70.87,70.37,65.3,61.96,55.96,49.76,60.59
T2M,2018,17.83,17.33,20.47,20.02,20.34,22.94,24.09,24.9,26.68,24.14,20.02,19.27,21.53
T2M,2019,17.54,19.48,20.34,20.23,21.12,22.74,24.07,24.99,26.73,26.12,21.38,19.59,22.04
T2M,2020,18.3,21.81,21.17,21.24,22.34,25.37,25.23,26.38,28.11,24.42,22.58,18.75,22.97
T2M,2021,18.84,19.15,19.37,19.74,20.86,22.96,23.63,25.95,26.49,24.63,22.06,19.86,21.98
T2M,2022,19.67,20.49,19.56,20.1,22.65,23.89,24.59,26.09,27.05,25.06,23.19,20.82,22.77
T2M,2023,19.51,18.43,22.91,22.07,22.36,24.47,25.57,26.93,26.74,26.81,23.64,20.41,23.35
T2M,2024,20.93,21.94,20.82,22.81,22.36,23.39,24.64,26.5,26.27,25.32,23.28,20.64,23.24
WS10M,2018,6.79,6.28,6.66,7.94,8.24,7.75,6.56,6.28,5.69,5.98,5.76,5.19,6.59
WS10M,2019,5.48,5.67,6.16,7.12,7.16,8.35,7.63,6.0,5.89,5.71,6.1,5.51,6.4
WS10M,2020,5.91,5.68,6.35,7.28,7.69,7.7,5.59,5.95,4.97,6.25,4.71,5.75,6.15
WS10M,2021,5.82,6.26,6.72,7.34,7.57,8.07,6.72,5.9,6.18,6.09,4.89,5.11,6.39
WS10M,2022,4.97,6.14,7.52,7.01,7.28,7.86,6.62,5.68,6.13,5.91,5.06,4.94,6.26
WS10M,2023,6.21,6.19,5.52,6.03,7.19,7.29,6.81,5.39,6.95,4.9,5.58,4.88,6.07
WS10M,2024,4.57,6.18,7.1,7.04,7.43,8.35,6.03,5.4,5.86,5.97,4.71,5.84,6.2
WSC,2018,4.27,3.78,3.98,4.64,4.77,4.59,3.82,3.6,3.38,3.59,3.53,3.34,3.94
WSC,2019,3.39,3.6,3.73,4.16,4.21,4.92,4.45,3.49,3.42,3.56,3.74,3.52,3.85
WSC,2020,3.75,3.63,3.79,4.33,4.58,4.7,3.27,3.38,2.82,3.75,2.99,3.49,3.71
WSC,2021,3.7,3.84,4.06,4.44,4.54,4.78,3.94,3.44,3.62,3.71,3.01,3.26,3.86
WSC,2022,3.09,3.78,4.43,4.16,4.34,4.67,3.9,3.23,3.59,3.62,3.25,3.07,3.76
WSC,2023,3.85,3.72,3.41,3.65,4.27,4.44,3.97,3.17,4.01,3.0,3.58,3.14,3.68
WSC,2024,2.95,3.88,4.2,4.24,4.37,4.98,3.48,3.09,3.47,3.58,2.98,3.67,3.74
