-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2018 through 12/31/2024 in LST
Location: Latitude  18.0922   Longitude -15.9796 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
PS                  MERRA-2 Surface Pressure (kPa) 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                 MERRA-2 Temperature at 2 Meters (C) 
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) 
WSC                 MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: 35-m broadleaf-evergreen trees (70% coverage) (vegtype_1) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2018,0.0,0.01,0.0,0.0,0.0,7.25,32.48,56.33,231.66,2.7,0.9,0.0,331.33
PRECTOTCORR_SUM,2019,0.0,0.0,1.67,8.87,0.0,0.58,0.44,14.22,17.8,20.48,0.19,0.0,64.25
PRECTOTCORR_SUM,2020,0.0,11.76,300.98,1.67,0.0,0.21,44.31,85.29,93.37,132.27,0.0,0.0,669.86
PRECTOTCORR_SUM,2021,0.0,0.0,1.01,0.92,0.0,8.63,3.37,161.72,93.77,2.4,4.26,0.93,277.01
PRECTOTCORR_SUM,2022,0.34,0.0,0.0,0.0,0.07,0.76,51.35,66.25,65.04,7.14,0.0,2.22,193.17
PRECTOTCORR_SUM,2023,0.4,2.81,0.01,0.45,0.08,0.4,66.5,71.5,72.19,47.54,0.0,0.0,261.88
PRECTOTCORR_SUM,2024,0.0,0.0,0.0,0.22,0.0,0.47,25.83,39.9,31.85,21.45,0.0,0.28,120.0
PS,2018,101.58,101.41,101.27,101.21,101.17,101.17,101.14,101.14,101.06,101.19,101.33,101.54,101.27
PS,2019,101.59,101.48,101.42,101.22,101.1,101.12,101.07,101.1,101.15,101.08,101.26,101.43,101.25
PS,2020,101.63,101.41,101.24,101.25,101.15,101.1,101.0,100.97,101.09,101.17,101.35,101.44,101.24
PS,2021,101.5,101.37,101.2,101.05,101.1,101.07,101.15,101.09,101.09,101.12,101.2,101.34,101.19
