-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2018 through 12/31/2024 in LST
Location: Latitude  16.6525   Longitude -15.7276 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 15.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
PS                  MERRA-2 Surface Pressure (kPa) 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                 MERRA-2 Temperature at 2 Meters (C) 
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) 
WSC                 MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: 35-m broadleaf-evergreen trees (70% coverage) (vegtype_1) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2018,0.0,0.0,0.17,0.0,0.0,16.93,44.94,139.63,135.18,38.8,0.7,0.0,376.35
PRECTOTCORR_SUM,2019,0.0,0.0,0.98,0.96,0.0,1.02,9.93,101.51,61.62,16.65,0.0,0.0,192.67
PRECTOTCORR_SUM,2020,0.0,75.24,196.33,7.16,0.0,4.35,71.39,74.42,112.94,27.53,0.15,0.0,569.51
PRECTOTCORR_SUM,2021,0.0,0.0,0.0,0.0,0.02,15.4,8.88,188.91,98.44,7.21,5.11,0.13,324.1
PRECTOTCORR_SUM,2022,0.12,0.0,0.0,0.0,2.48,16.79,68.45,170.53,78.39,20.17,0.0,18.12,375.05
PRECTOTCORR_SUM,2023,0.53,0.0,0.0,0.22,0.15,0.61,97.15,164.57,84.68,30.63,0.0,0.0,378.54
PRECTOTCORR_SUM,2024,0.0,0.0,0.0,0.11,0.0,2.18,78.13,66.81,83.74,18.68,0.0,2.58,252.23
PS,2018,101.27,101.12,100.96,100.9,100.88,100.95,100.97,100.96,100.87,100.97,101.06,101.26,101.01
PS,2019,101.31,101.18,101.14,100.91,100.81,100.88,100.9,100.93,100.99,100.87,100.99,101.15,101.0
PS,2020,101.33,101.12,100.96,100.96,100.87,100.91,100.83,100.82,100.91,100.94,101.09,101.16,100.99
PS,2021,101.2,101.08,100.89,100.73,100.82,100.85,100.97,100.93,100.92,100.9,100.94,101.06,100.94
PS,2022,101.17,101.06,100.88,100.78,100.85,100.76,100.86,100.81,100.88,100.95,101.06,101.1,100.93
PS,2023,101.22,101.06,100.83,100.77,100.86,100.86,100.98,100.9,100.9,100.9,100.99,101.19,100.96
PS,2024,101.23,101.1,100.89,100.72,100.71,100.84,100.92,100.81,100.85,100.97,101.02,101.24,100.94
RH2M,2018,22.67,35.97,24.66,36.17,38.94,44.21,54.4,61.75,67.08,58.04,46.77,24.37,42.91
RH2M,2019,23.57,20.38,30.57,34.86,42.78,41.04,51.91,60.73,63.94,48.5,32.42,25.62,39.82
RH2M,2020,18.03,20.06,30.78,45.82,45.07,52.58,59.97,66.08,67.12,55.22,45.98,42.71,45.85
RH2M,2021,33.91,26.61,33.24,35.22,40.44,44.69,55.45,66.38,65.35,51.86,40.61,31.3,43.87
RH2M,2022,26.26,24.59,29.9,35.2,36.76,43.62,58.1,67.99,70.21,58.97,34.71,37.76,43.8
RH2M,2023,31.05,29.16,27.92,35.42,37.27,44.59,58.28,65.82,71.78,60.41,29.99,26.47,43.27
RH2M,2024,25.32,20.21,33.79,33.47,35.88,48.62,59.08,63.56,64.22,52.69,37.59,28.36,41.97
T2M,2018,21.36,21.94,27.8,27.75,28.64,30.81,30.46,29.71,29.73,29.28,25.85,23.4,27.26
T2M,2019,22.44,24.11,24.61,28.05,29.23,31.44,30.94,30.13,30.53,30.37,27.8,24.48,27.86
T2M,2020,23.02,26.56,26.17,26.92,29.36,30.65,30.47,30.36,30.03,29.83,25.93,23.32,27.72
T2M,2021,22.63,24.47,26.41,29.39,29.69,31.63,30.26,30.13,30.53,30.3,28.43,25.41,28.29
T2M,2022,24.52,25.2,26.03,28.77,31.14,32.9,30.61,29.79,29.65,29.77,26.17,24.13,28.24
T2M,2023,23.12,25.28,28.92,29.67,31.66,32.49,31.58,30.48,29.8,30.09,27.08,24.31,28.72
T2M,2024,24.51,26.61,27.29,30.46,32.08,31.07,30.83,30.89,30.14,30.69,27.59,24.27,28.87
WS10M,2018,5.49,5.37,5.3,5.63,5.88,4.98,4.77,4.33,3.25,3.21,4.03,4.78,4.75
WS10M,2019,4.63,5.17,5.04,5.32,5.66,5.14,4.96,4.52,3.39,3.72,3.81,4.62,4.66
WS10M,2020,5.44,5.49,4.86,5.4,5.4,5.11,4.37,4.31,3.1,3.3,4.1,4.46,4.61
WS10M,2021,5.59,5.13,5.12,5.72,5.8,5.36,5.28,3.53,3.25,3.32,3.65,4.55,4.69
WS10M,2022,4.9,5.55,5.37,5.75,5.03,4.76,5.13,3.81,3.12,2.77,3.7,4.35,4.51
