-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2018 through 12/31/2024 in LST
Location: Latitude  15.2202   Longitude -12.2468 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 52.42 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
PS                  MERRA-2 Surface Pressure (kPa) 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                 MERRA-2 Temperature at 2 Meters (C) 
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) 
WSC                 MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: 35-m broadleaf-evergreen trees (70% coverage) (vegtype_1) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2018,0.0,0.0,0.0,0.0,0.18,117.31,296.24,178.53,192.81,56.0,1.4,0.0,842.47
PRECTOTCORR_SUM,2019,0.0,0.0,0.0,0.11,0.04,46.05,176.44,202.35,115.5,119.66,0.03,0.0,660.18
PRECTOTCORR_SUM,2020,0.0,0.0,0.05,0.47,5.88,93.74,472.35,270.7,434.37,52.75,0.0,0.0,1330.31
PRECTOTCORR_SUM,2021,0.0,0.04,0.0,0.0,0.41,202.56,178.92,428.56,275.63,47.31,1.57,0.03,1135.03
PRECTOTCORR_SUM,2022,0.0,0.0,0.0,0.0,51.15,83.97,182.91,880.1,317.9,69.0,0.02,0.67,1585.72
PRECTOTCORR_SUM,2023,0.0,0.0,0.11,0.02,9.37,120.98,229.59,215.16,86.21,25.87,0.02,0.0,687.33
PRECTOTCORR_SUM,2024,0.0,0.0,0.0,0.6,16.7,19.18,424.83,265.28,210.94,36.02,0.0,0.0,973.55
PS,2018,100.71,100.5,100.36,100.27,100.23,100.44,100.56,100.56,100.48,100.53,100.57,100.79,100.5
PS,2019,100.79,100.63,100.55,100.28,100.19,100.35,100.47,100.52,100.58,100.44,100.55,100.68,100.5
PS,2020,100.8,100.59,100.38,100.33,100.29,100.42,100.42,100.43,100.52,100.54,100.66,100.63,100.5
PS,2021,100.64,100.51,100.29,100.11,100.2,100.36,100.53,100.53,100.54,100.49,100.51,100.61,100.44
PS,2022,100.69,100.51,100.25,100.14,100.28,100.34,100.45,100.43,100.5,100.55,100.63,100.62,100.45
PS,2023,100.7,100.46,100.29,100.2,100.32,100.38,100.58,100.48,100.49,100.47,100.5,100.7,100.46
PS,2024,100.74,100.6,100.31,100.14,100.15,100.34,100.5,100.45,100.47,100.57,100.64,100.78,100.47
RH2M,2018,18.43,20.19,12.73,15.99,17.04,41.93,75.86,80.56,83.41,74.7,64.8,37.13,45.37
RH2M,2019,21.51,11.88,17.03,16.36,17.75,28.82,66.56,76.09,82.72,74.5,58.46,35.61,42.48
RH2M,2020,19.94,13.45,13.89,19.48,21.43,47.58,73.21,85.22,86.69,80.73,73.14,63.14,49.95
RH2M,2021,39.12,24.34,16.87,14.57,19.4,46.75,73.43,84.96,84.28,78.09,66.28,49.54,49.98
RH2M,2022,27.77,16.62,14.14,14.98,23.89,54.37,69.84,83.41,86.65,80.79,65.0,56.78,49.73
RH2M,2023,35.96,24.84,15.88,19.61,26.09,46.9,76.6,79.81,81.49,72.06,34.05,18.25,44.44
RH2M,2024,13.53,10.12,13.47,17.52,21.33,40.23,75.85,84.45,86.56,79.54,69.27,51.0,47.04
T2M,2018,23.25,26.23,31.22,32.98,35.22,33.3,28.41,27.41,27.23,27.63,25.0,22.04,28.33
T2M,2019,22.84,26.4,28.28,33.35,35.75,35.44,30.26,28.33,27.67,27.18,25.04,22.88,28.62
T2M,2020,23.54,28.67,30.41,34.16,35.9,33.16,29.08,27.41,26.98,25.95,21.76,22.54,28.29
T2M,2021,22.48,26.03,30.69,34.76,36.23,33.47,28.94,27.43,27.64,27.53,25.5,22.53,28.6
T2M,2022,23.72,26.74,30.44,34.25,35.0,32.0,29.49,27.4,27.02,26.56,22.0,21.97,28.05
T2M,2023,22.19,26.97,31.24,33.62,35.44,33.65,29.22,28.6,28.31,28.7,27.18,25.48,29.22
T2M,2024,26.41,28.54,31.97,35.34,37.08,34.5,29.21,27.8,27.06,27.1,23.29,21.11,29.11
WS10M,2018,4.9,4.76,4.57,4.33,4.0,4.03,3.2,2.84,2.29,2.23,3.19,4.59,3.74
WS10M,2019,4.59,5.07,4.48,4.16,3.87,3.89,3.51,3.54,2.41,2.77,3.32,4.43,3.83
WS10M,2020,5.2,5.39,4.45,4.43,3.81,4.04,3.26,3.32,2.52,2.55,3.64,3.65,3.85
WS10M,2021,4.81,4.29,4.19,3.64,3.98,3.84,3.78,2.93,2.34,2.26,2.81,4.28,3.59
WS10M,2022,4.89,4.8,4.43,4.46,3.64,3.84,3.95,3.09,2.24,2.36,3.14,3.73,3.71
WS10M,2023,4.45,4.33,4.01,4.75,3.93,3.96,3.01,3.26,2.69,2.28,3.31,5.01,3.75
WS10M,2024,4.88,5.1,3.97,4.22,3.61,4.62,3.66,3.49,2.85,2.5,3.5,4.73,3.92
WSC,2018,3.44,3.18,3.17,2.91,2.6,2.58,2.21,2.0,1.66,1.59,2.36,3.42,2.59
WSC,2019,3.37,3.51,3.05,2.8,2.53,2.48,2.37,2.45,1.79,2.02,2.39,3.25,2.67
WSC,2020,3.65,3.72,3.1,2.91,2.45,2.6,2.17,2.33,1.81,1.88,2.79,2.76,2.68
WSC,2021,3.58,3.17,2.92,2.47,2.56,2.53,2.62,2.1,1.71,1.66,1.99,3.2,2.54
WSC,2022,3.58,3.38,3.07,3.02,2.39,2.47,2.55,2.18,1.62,1.73,2.28,2.77,2.59
WSC,2023,3.35,3.2,2.85,3.12,2.46,2.53,2.12,2.3,1.97,1.72,2.51,3.6,2.64
WSC,2024,3.46,3.57,2.81,2.79,2.34,2.76,2.45,2.44,2.0,1.82,2.65,3.55,2.72
