-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2018 through 12/31/2024 in LST
Location: Latitude  18.5547   Longitude -11.4256 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 419.17 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
PS                  MERRA-2 Surface Pressure (kPa) 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                 MERRA-2 Temperature at 2 Meters (C) 
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) 
WSC                 MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: 35-m broadleaf-evergreen trees (70% coverage) (vegtype_1) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2018,0.0,0.01,0.18,0.0,0.45,3.75,37.83,73.18,69.61,10.15,0.8,0.0,195.96
PRECTOTCORR_SUM,2019,0.0,0.0,0.5,0.0,0.03,0.5,4.91,31.21,2.66,41.17,0.12,0.0,81.1
PRECTOTCORR_SUM,2020,0.0,1.04,119.72,5.07,0.65,9.23,67.08,110.43,136.88,465.72,5.68,0.0,921.5
PRECTOTCORR_SUM,2021,0.0,0.18,0.0,0.16,4.67,0.03,3.38,183.41,45.09,3.48,2.39,0.09,242.88
PRECTOTCORR_SUM,2022,0.42,0.0,0.0,0.0,4.18,13.68,14.28,129.0,92.53,0.65,0.0,1.15,255.89
PRECTOTCORR_SUM,2023,0.79,0.34,18.3,17.59,16.71,10.16,30.62,14.12,21.0,0.0,0.0,0.0,129.63
PRECTOTCORR_SUM,2024,0.0,0.0,0.0,0.0,1.46,0.29,46.27,119.52,181.33,4.81,0.0,3.42,357.1
PS,2018,96.8,96.53,96.52,96.36,96.28,96.37,96.32,96.35,96.39,96.5,96.58,96.87,96.49
PS,2019,96.84,96.75,96.62,96.38,96.22,96.33,96.25,96.28,96.43,96.42,96.56,96.74,96.48
PS,2020,96.92,96.77,96.48,96.43,96.36,96.32,96.22,96.22,96.42,96.54,96.71,96.66,96.5
PS,2021,96.74,96.59,96.42,96.22,96.24,96.25,96.26,96.39,96.42,96.47,96.54,96.7,96.44
PS,2022,96.79,96.63,96.36,96.24,96.34,96.26,96.21,96.22,96.39,96.51,96.66,96.68,96.44
PS,2023,96.78,96.59,96.4,96.32,96.38,96.31,96.37,96.29,96.34,96.41,96.6,96.82,96.47
PS,2024,96.87,96.75,96.4,96.27,96.24,96.23,96.26,96.23,96.37,96.53,96.68,96.86,96.47
RH2M,2018,22.4,25.96,17.15,17.69,16.02,18.37,40.3,49.23,58.41,37.64,30.64,18.89,29.4
RH2M,2019,18.62,14.33,18.94,18.18,15.54,13.74,29.81,40.65,39.24,34.42,23.9,21.04,24.12
RH2M,2020,19.7,14.96,18.5,31.01,17.33,24.81,46.96,60.66,67.02,57.79,53.14,48.34,38.42
RH2M,2021,28.98,20.01,19.15,15.69,17.06,20.15,27.1,63.58,56.45,33.87,27.96,24.22,29.59
RH2M,2022,17.26,16.53,18.32,15.81,16.44,27.43,34.12,53.93,62.58,43.39,22.54,23.5,29.4
RH2M,2023,20.31,19.48,17.94,28.54,25.32,22.83,42.08,38.7,38.84,22.05,16.82,19.65,26.09
RH2M,2024,14.57,14.18,15.24,16.68,13.26,17.72,42.32,60.26,66.15,50.42,28.19,22.62,30.2
T2M,2018,17.53,19.32,25.11,27.47,31.19,33.94,31.97,30.55,28.77,28.33,24.65,19.22,26.54
T2M,2019,17.57,19.78,23.07,27.49,32.33,34.3,33.98,32.21,32.3,28.73,24.47,20.51,27.26
T2M,2020,18.05,23.16,23.84,27.4,32.45,34.24,31.48,29.57,27.91,25.03,19.91,19.1,26.01
T2M,2021,18.8,21.63,24.39,30.37,33.16,34.91,33.8,28.77,29.14,28.35,25.49,21.65,27.56
T2M,2022,20.39,21.92,24.01,28.94,32.84,33.45,33.41,30.47,28.27,27.33,23.21,22.05,27.22
T2M,2023,19.52,22.37,25.91,27.22,31.56,33.88,33.03,33.09,32.37,30.82,24.66,20.55,27.94
T2M,2024,20.46,22.65,26.05,30.62,33.65,35.4,32.31,29.88,28.06,27.04,23.63,19.87,27.47
WS10M,2018,5.5,4.5,4.88,4.41,4.03,5.16,4.76,4.21,3.54,3.75,3.87,5.36,4.5
WS10M,2019,5.05,5.59,4.58,4.04,3.9,4.76,4.27,4.42,3.43,4.11,3.69,5.16,4.41
WS10M,2020,5.78,5.59,4.45,3.91,4.18,5.04,4.43,4.72,3.2,4.03,4.26,3.89,4.45
WS10M,2021,5.44,4.6,4.8,4.21,4.16,4.61,4.67,3.73,3.24,3.95,4.28,5.43,4.43
