-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2018 through 12/31/2024 in LST
Location: Latitude  16.039   Longitude -13.1835 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 43.57 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
PS                  MERRA-2 Surface Pressure (kPa) 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                 MERRA-2 Temperature at 2 Meters (C) 
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) 
WSC                 MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: 35-m broadleaf-evergreen trees (70% coverage) (vegtype_1) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2018,0.0,0.0,0.0,0.0,0.0,23.16,107.33,150.55,152.76,6.92,1.66,0.0,442.38
PRECTOTCORR_SUM,2019,0.0,0.0,0.0,0.0,0.0,1.54,39.43,106.38,80.49,77.87,0.0,0.0,305.71
PRECTOTCORR_SUM,2020,0.0,0.0,0.92,44.99,0.1,36.8,320.16,172.76,252.71,56.11,0.01,0.0,884.56
PRECTOTCORR_SUM,2021,0.0,0.01,0.0,0.0,0.0,21.62,88.06,286.12,124.23,6.01,1.01,0.11,527.17
PRECTOTCORR_SUM,2022,0.0,0.0,0.0,0.0,18.98,43.01,105.52,236.38,181.82,32.57,0.0,1.24,619.52
PRECTOTCORR_SUM,2023,0.0,0.0,10.94,0.03,4.7,22.97,267.66,131.38,114.58,12.88,0.0,0.0,565.14
PRECTOTCORR_SUM,2024,0.0,0.0,0.0,0.73,0.53,44.72,161.91,155.75,143.13,22.18,0.0,0.68,529.63
PS,2018,100.88,100.68,100.54,100.43,100.36,100.51,100.61,100.61,100.57,100.63,100.69,100.93,100.62
PS,2019,100.95,100.81,100.72,100.45,100.31,100.42,100.51,100.57,100.66,100.54,100.66,100.81,100.62
PS,2020,100.97,100.75,100.55,100.5,100.39,100.48,100.48,100.5,100.61,100.65,100.8,100.78,100.62
PS,2021,100.82,100.67,100.45,100.25,100.32,100.42,100.56,100.61,100.62,100.58,100.61,100.74,100.56
PS,2022,100.83,100.67,100.43,100.3,100.4,100.4,100.5,100.49,100.59,100.64,100.75,100.76,100.56
PS,2023,100.86,100.63,100.45,100.35,100.43,100.43,100.64,100.55,100.57,100.55,100.64,100.85,100.58
PS,2024,100.9,100.76,100.46,100.28,100.26,100.41,100.56,100.5,100.55,100.66,100.75,100.92,100.58
RH2M,2018,16.68,21.63,13.46,15.28,15.18,30.18,55.57,63.76,76.35,61.81,45.91,23.58,36.68
RH2M,2019,16.02,12.09,17.19,15.69,16.01,21.42,44.05,57.64,67.71,56.48,41.17,22.12,32.42
RH2M,2020,16.13,12.98,14.35,23.13,17.53,35.74,62.86,78.94,80.84,72.67,64.07,51.75,44.35
RH2M,2021,32.12,18.33,17.05,14.16,17.22,32.35,46.46,76.87,77.11,63.54,46.52,28.42,39.31
RH2M,2022,16.23,14.12,14.48,14.97,20.58,41.5,55.99,73.94,80.53,72.11,47.57,35.28,40.77
RH2M,2023,20.16,17.36,17.2,21.35,22.69,30.99,64.58,69.09,76.23,59.78,26.34,17.42,37.07
RH2M,2024,14.59,10.7,13.62,16.43,16.07,31.92,60.93,72.69,76.43,65.7,48.15,31.24,38.3
T2M,2018,22.6,24.62,30.24,31.93,34.72,34.87,31.25,29.79,28.32,28.91,26.65,23.36,28.96
T2M,2019,22.92,25.27,27.17,32.37,35.2,36.08,33.52,30.93,29.85,29.18,26.91,24.55,29.51
T2M,2020,23.62,28.15,29.34,32.17,35.78,34.82,30.63,28.41,27.89,26.84,22.56,23.22,28.61
T2M,2021,22.94,26.38,29.79,34.23,35.85,35.28,32.63,28.68,28.71,28.93,27.68,25.68,29.74
T2M,2022,25.44,26.65,29.21,33.47,35.06,33.92,31.48,28.92,28.1,27.6,24.07,24.16,29.02
T2M,2023,24.18,27.58,30.14,32.64,35.34,35.89,30.93,30.04,29.02,29.79,27.66,25.39,29.89
T2M,2024,25.3,27.61,30.94,34.56,37.17,35.14,31.21,29.58,28.49,28.55,25.33,23.38,29.77
WS10M,2018,5.1,4.87,4.71,4.33,4.29,4.15,4.02,3.52,2.63,2.54,3.43,4.8,4.03
WS10M,2019,4.59,5.07,4.57,4.49,4.22,3.95,4.26,3.99,3.09,3.04,3.13,4.53,4.07
WS10M,2020,5.28,5.44,4.61,4.32,4.0,4.41,3.78,3.71,2.57,2.61,3.78,3.65,4.01
WS10M,2021,5.06,4.51,4.23,4.4,4.31,4.41,4.54,3.24,2.86,2.74,3.26,4.62,4.01
WS10M,2022,5.26,5.1,4.74,4.84,4.38,4.0,4.48,3.48,2.64,2.68,3.59,4.05,4.1
WS10M,2023,4.64,4.73,4.3,4.93,4.45,4.45,3.55,3.66,3.07,2.59,3.53,5.07,4.08
WS10M,2024,4.92,5.04,4.04,4.62,3.84,4.38,4.36,3.85,3.3,2.83,3.88,5.0,4.17
WSC,2018,3.58,3.24,3.25,2.94,2.76,2.61,2.51,2.28,1.85,1.83,2.45,3.39,2.72
WSC,2019,3.26,3.53,3.13,2.99,2.7,2.52,2.57,2.5,2.12,2.13,2.22,3.27,2.74
