-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2018 through 12/31/2024 in LST
Location: Latitude  16.769   Longitude -11.3569 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 184.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
PS                  MERRA-2 Surface Pressure (kPa) 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                 MERRA-2 Temperature at 2 Meters (C) 
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) 
WSC                 MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: 35-m broadleaf-evergreen trees (70% coverage) (vegtype_1) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2018,0.0,0.01,0.0,0.0,5.75,30.46,120.86,82.15,159.2,12.99,0.4,0.0,411.82
PRECTOTCORR_SUM,2019,0.0,0.0,0.02,0.0,0.02,4.18,28.23,85.95,22.18,34.8,0.0,0.0,175.38
PRECTOTCORR_SUM,2020,0.0,0.02,291.67,0.45,7.72,12.06,186.46,171.77,175.97,159.76,1.08,0.0,1006.96
PRECTOTCORR_SUM,2021,0.0,0.42,0.0,0.0,0.69,8.06,27.49,290.74,46.83,1.71,0.67,0.44,377.05
PRECTOTCORR_SUM,2022,0.0,0.0,0.0,0.0,10.62,34.5,36.21,152.06,133.3,8.14,0.0,0.26,375.09
PRECTOTCORR_SUM,2023,0.05,0.0,98.8,7.11,42.53,15.11,95.92,26.7,22.59,0.28,0.0,0.0,309.09
PRECTOTCORR_SUM,2024,0.0,0.0,0.0,0.06,0.45,10.39,92.1,163.77,206.61,10.56,0.0,0.98,484.92
PS,2018,99.36,99.1,99.03,98.86,98.76,98.87,98.96,98.98,98.97,99.05,99.13,99.43,99.04
PS,2019,99.43,99.31,99.16,98.88,98.72,98.83,98.87,98.91,99.02,98.95,99.11,99.29,99.04
PS,2020,99.48,99.28,99.01,98.93,98.85,98.85,98.83,98.85,99.0,99.08,99.26,99.23,99.06
PS,2021,99.3,99.15,98.94,98.71,98.73,98.79,98.88,98.99,99.0,99.0,99.08,99.24,98.98
PS,2022,99.35,99.16,98.88,98.74,98.83,98.79,98.81,98.84,98.97,99.05,99.19,99.23,98.99
PS,2023,99.34,99.11,98.92,98.82,98.87,98.83,99.0,98.88,98.9,98.93,99.12,99.38,99.01
PS,2024,99.42,99.28,98.92,98.75,98.71,98.77,98.88,98.85,98.96,99.07,99.22,99.42,99.02
RH2M,2018,20.56,22.55,14.87,15.19,15.26,24.27,55.82,62.17,67.55,46.39,40.23,23.97,34.13
RH2M,2019,20.53,15.9,19.33,16.84,15.41,16.53,43.11,52.16,54.62,42.29,27.47,22.22,28.97
RH2M,2020,19.93,15.28,17.3,26.93,18.9,32.86,56.41,71.47,73.48,61.06,50.85,45.88,40.95
RH2M,2021,32.48,23.86,21.16,16.35,18.32,28.05,40.86,69.26,64.16,46.21,34.05,26.73,35.21
RH2M,2022,18.62,16.59,16.59,15.25,17.24,34.8,42.78,62.95,67.53,50.84,29.48,26.56,33.37
RH2M,2023,21.25,19.16,18.78,26.06,26.33,30.68,57.26,52.41,50.92,29.25,17.01,18.93,30.76
RH2M,2024,14.69,12.68,13.6,15.61,13.89,25.13,53.34,67.14,70.88,53.94,36.02,29.33,33.94
T2M,2018,19.92,22.62,27.93,30.59,34.16,35.28,30.9,29.86,28.88,29.01,25.99,20.74,28.01
T2M,2019,19.41,21.82,25.32,30.69,34.66,36.0,33.56,31.75,31.5,29.92,26.44,22.26,28.64
T2M,2020,20.3,25.35,26.67,30.57,34.33,35.02,31.29,29.07,28.37,26.33,21.78,21.68,27.56
T2M,2021,20.36,23.34,26.67,32.46,35.35,35.62,33.51,29.28,29.92,29.36,26.87,23.59,28.88
T2M,2022,22.28,23.89,26.91,31.96,34.57,34.25,33.6,30.09,29.39,28.71,24.3,23.38,28.63
T2M,2023,21.42,24.89,27.93,30.05,33.75,35.3,31.81,32.28,32.61,32.44,26.82,22.71,29.35
T2M,2024,22.47,24.67,29.12,33.3,36.17,36.34,32.2,30.04,28.89,28.88,24.42,21.14,28.97
WS10M,2018,5.44,4.66,4.96,4.2,3.62,4.08,4.33,3.9,2.81,2.93,3.92,5.19,4.17
WS10M,2019,5.01,5.46,4.53,4.04,4.06,3.63,4.59,4.4,3.15,3.64,3.87,5.09,4.29
WS10M,2020,5.82,5.79,4.43,4.22,3.74,4.23,3.77,4.04,2.63,3.28,4.28,4.06,4.19
WS10M,2021,5.43,4.67,4.61,4.3,3.8,4.18,4.84,3.26,3.02,3.42,4.13,5.33,4.25
WS10M,2022,5.54,5.29,4.37,4.27,4.14,3.61,4.74,3.71,2.84,3.07,4.69,4.86,4.26
WS10M,2023,5.3,5.04,4.39,4.37,3.95,4.0,4.13,4.04,3.39,2.93,4.66,5.52,4.31
WS10M,2024,5.31,5.33,4.1,4.55,4.06,3.94,4.87,4.21,3.3,3.09,4.11,5.4,4.35
WSC,2018,3.73,3.14,3.4,2.89,2.45,2.68,2.7,2.44,1.92,2.03,2.78,3.69,2.82
WSC,2019,3.52,3.75,3.17,2.8,2.74,2.4,2.74,2.62,2.02,2.5,2.73,3.5,2.87
WSC,2020,3.89,3.98,3.11,2.93,2.53,2.67,2.36,2.59,1.84,2.32,3.17,2.91,2.85
WSC,2021,3.82,3.33,3.18,3.02,2.52,2.63,2.89,2.14,2.06,2.38,2.9,3.65,2.87
WSC,2022,3.79,3.67,3.05,2.93,2.81,2.31,2.81,2.3,1.95,2.16,3.43,3.45,2.89
WSC,2023,3.67,3.44,3.12,3.03,2.61,2.59,2.54,2.47,2.11,2.03,3.36,3.81,2.9
WSC,2024,3.75,3.73,2.89,3.08,2.76,2.55,2.91,2.63,2.15,2.17,2.99,3.79,2.95
