-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2018 through 12/31/2024 in LST
Location: Latitude  22.7345   Longitude -12.4754 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 324.76 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
PS                  MERRA-2 Surface Pressure (kPa) 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                 MERRA-2 Temperature at 2 Meters (C) 
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) 
WSC                 MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: 35-m broadleaf-evergreen trees (70% coverage) (vegtype_1) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2018,3.5,1.32,0.97,0.03,0.07,5.43,0.02,2.43,10.14,22.11,3.26,0.0,49.28
PRECTOTCORR_SUM,2019,1.6,0.38,0.48,0.0,1.04,0.0,0.0,1.93,0.05,0.24,0.0,0.04,5.76
PRECTOTCORR_SUM,2020,2.13,2.97,0.15,2.31,0.0,6.01,1.26,21.79,11.21,16.69,0.0,0.17,64.69
PRECTOTCORR_SUM,2021,3.42,0.53,0.0,1.66,0.02,0.39,0.01,0.0,4.14,1.64,7.64,3.66,23.11
PRECTOTCORR_SUM,2022,1.45,1.86,0.0,1.08,0.33,0.44,6.98,1.98,1.94,0.4,0.0,5.29,21.75
PRECTOTCORR_SUM,2023,0.13,10.98,27.94,3.95,3.01,0.45,0.0,0.0,4.29,0.0,0.0,0.0,50.75
PRECTOTCORR_SUM,2024,0.0,0.0,0.14,0.2,0.0,0.0,4.56,3.84,7.18,0.0,1.13,0.0,17.05
PS,2018,98.15,97.78,97.79,97.62,97.58,97.65,97.32,97.35,97.51,97.66,97.81,98.18,97.7
PS,2019,98.14,98.08,97.83,97.61,97.38,97.62,97.33,97.28,97.52,97.64,97.78,98.03,97.68
PS,2020,98.27,98.07,97.74,97.64,97.58,97.59,97.14,97.16,97.43,97.73,97.88,97.91,97.68
PS,2021,98.06,97.87,97.69,97.47,97.48,97.5,97.28,97.4,97.5,97.65,97.74,97.97,97.63
PS,2022,98.03,97.9,97.66,97.45,97.52,97.47,97.2,97.15,97.46,97.66,97.91,97.9,97.61
PS,2023,98.1,97.89,97.62,97.45,97.6,97.52,97.38,97.3,97.48,97.55,97.85,98.09,97.65
PS,2024,98.11,98.02,97.65,97.47,97.48,97.49,97.22,97.17,97.4,97.68,97.83,98.16,97.64
RH2M,2018,37.74,45.32,34.44,32.61,30.07,24.29,22.16,27.64,31.79,38.76,47.59,28.91,33.34
RH2M,2019,35.54,25.27,26.55,31.26,24.65,23.83,23.36,25.98,23.48,25.68,33.94,31.98,27.64
RH2M,2020,28.27,20.64,30.42,30.73,22.29,26.09,20.9,26.36,26.61,34.48,30.02,40.29,28.13
RH2M,2021,36.36,31.95,29.96,29.97,28.98,22.42,23.09,24.06,25.89,25.27,36.47,31.37,28.79
RH2M,2022,28.07,25.54,34.74,29.45,22.61,29.69,21.58,25.15,31.23,23.91,21.37,37.69,27.6
RH2M,2023,33.3,40.38,26.35,30.34,29.79,33.75,25.53,25.51,26.95,22.97,25.93,26.67,28.86
RH2M,2024,18.57,23.25,30.45,23.6,23.03,25.45,21.16,23.64,33.09,29.02,24.18,28.33,25.31
T2M,2018,14.99,15.58,21.73,23.04,25.23,29.72,34.21,33.44,32.03,27.62,20.03,16.4,24.56
T2M,2019,14.28,17.01,20.97,23.07,28.79,29.96,33.22,34.39,33.62,28.97,21.43,17.61,25.33
T2M,2020,15.13,20.92,21.17,24.79,29.31,32.6,36.26,34.76,33.43,28.09,23.24,17.16,26.41
T2M,2021,16.95,18.62,21.27,25.54,28.54,32.21,34.71,33.63,32.68,28.27,22.91,18.58,26.2
T2M,2022,18.39,20.17,20.49,24.03,31.07,31.54,35.59,35.1,32.72,29.19,22.7,20.24,26.81
T2M,2023,16.43,17.87,24.53,26.31,28.31,30.79,34.7,35.43,33.38,29.79,22.74,18.67,26.63
T2M,2024,19.35,20.74,21.78,27.25,28.31,30.97,35.91,35.71,32.92,29.36,24.93,18.04,27.12
WS10M,2018,5.32,4.82,4.8,5.35,5.26,5.51,5.73,4.94,5.2,4.25,4.1,4.81,5.01
WS10M,2019,4.76,5.29,4.7,4.77,4.44,5.46,6.04,5.37,4.67,5.13,4.11,4.86,4.97
WS10M,2020,5.13,4.93,4.78,4.81,4.57,6.4,4.8,5.1,4.54,4.84,4.2,4.15,4.85
WS10M,2021,5.11,4.87,4.94,4.55,5.11,6.33,5.57,5.33,4.99,4.09,4.12,4.58,4.97
